-2.7712279150058183,
-2.437258903904486,
-0.1586451695418054,
4.027924016563905,
-1.9685303078701102,
2.2581015549044876,
-3.579872429934275,
-2.48886651678169,
-0.8843787184287379,
-0.5887962006174117,
-0.33618616787262745,
-0.8332573095658209,
2.4110239008596306,
-0.6538861544337068,
0.5526153180513853,
0.17450504257285362,
-0.7839401715423653,
4.091387285477625,
2.91265368182985,
-0.9615805407156867,
-3.6265872904790486,
0.7970444994466664,
-0.8873685656627706,
-2.8144005257208122,
0.9312459217166409,
-1.87281654498911,
3.5653762628918426,
-2.1267110491409,
3.6152763111964052,
2.1293239453766253,
2.772761926134654,
-2.426296161788472,
1.6407027573472632,
-0.623800082104373,
-2.725972084491817,
