-0.5393656237288925,
-0.15036927329215538,
0.0070643029393085005,
0.04945193783954316,
0.1082302818848072,
-0.09034839900945892,
0.42542800944017045,
0.03425792830494734,
0.3863697343784748,
-0.10038462285361678,
0.16006367450806716,
-0.2207811152535227,
0.35265247342656014,
-0.41309775294296625,
-0.16837897421530088,
-0.19662058280416045,
0.4199507071716033,
-0.4260695222536213,
-0.37775047560405095,
-0.038091801706002015,
-0.32973939749081893,
-0.23200802465152756,
-0.5649328009692228,
-0.05624945178521859,
