0.26632354898791927,
-0.16310962198079487,
-0.01708952516435161,
0.575277841252723,
0.15043326840245236,
0.09130600752358557,
0.2952702756711864,
-0.1535815951303512,
-0.359937913352516,
0.1519043190475069,
0.18519755227688856,
-2.483838380531872E-4,
-0.0602639067816412,
0.10430542655491845,
-0.1795448027972738,
-0.08185491440050509,
0.0733548308490631,
-0.17214677906402004,
-0.22838113455498776,
-0.27648765464292424,
0.003620795757860437,
-0.09034553221516474,
-0.35176416336705457,
-0.15305729413079322,
0.5380792853623634,
-0.47008526922201327,
-0.060894848490279804,
-0.09912594810513532,
0.21253726314401594,
0.271038994469125,
0.20646734672784628,
0.25273554100690726,
0.1735020849443416,
-2.1763469493137066E-4,
0.15513332953641445,
