-0.035470248216274994,
0.6006293140584174,
0.5424015597023242,
2.266588832527081,
-0.2416875383869402,
0.5569158719940014,
-0.14793946396395916,
0.40021401978737997,
-0.47559153664424236,
-0.25432027553422776,
0.10125800075453274,
-0.9438977241110529,
-0.20586700537281916,
0.4598223533341096,
0.13227105990361324,
0.023950368998131893,
-0.5709626996484084,
-0.2828601339783615,
0.17524332623395114,
0.7300412177412123,
0.10927032152211827,
0.020206840926797868,
-0.06321722409283932,
-0.16278199727367082,
