0.26415612235532254,
0.10031423523644716,
-0.401451013675175,
0.021762826982706172,
-0.046978643001213564,
0.2201622725435208,
0.17987371632531812,
0.18714667166268661,
-0.1701309409468445,
-0.09902952737660442,
0.08922568885071912,
0.11870844374989108,
0.14939985901585442,
0.12402349975987441,
0.33197607826252196,
-0.1615184574754175,
-0.24239544829539858,
0.2855974898478951,
0.09091244843637025,
-0.07204132597969312,
0.29970110175364634,
-0.0312728985683611,
-0.2851342747318008,
0.19467155925059815,
